5.000000000000000000e-01,4.977672865091542498e-01,4.714851779755813710e-01,5.075401545411430959e-01,4.857219004804473883e-01,4.604431425477381601e-01,4.763406827583562264e-01,4.949092764063258709e-01,4.662819976524980592e-01,4.955480425090156293e-01
4.821188106660593276e-01,5.000000000000000000e-01,4.826449524729393703e-01,4.880582502214711460e-01,4.718657684006130060e-01,4.911950344125875501e-01,4.938982169168869008e-01,4.878175659091747440e-01,4.845764421145299927e-01,4.792097959160916409e-01
4.931170481181632037e-01,4.913065731139448222e-01,5.000000000000000000e-01,5.000559389127462451e-01,4.772772487191444535e-01,4.574445157592235689e-01,4.867449210348550048e-01,4.848483648290650150e-01,4.912933476778922892e-01,5.005374226237125912e-01
5.069306764887621108e-01,4.792941852537377367e-01,4.747446529368599122e-01,5.000000000000000000e-01,4.645113599368091983e-01,4.748157963974769524e-01,4.614663748827050327e-01,4.743724492150356298e-01,5.001681043759717005e-01,4.487746630648111745e-01
4.758201435865436757e-01,4.746340115459141695e-01,4.941157568773067443e-01,4.863506384924549120e-01,5.000000000000000000e-01,5.023394700334949947e-01,4.779566970497319267e-01,4.800271385186157813e-01,4.663091212504434369e-01,4.808557630958324447e-01
4.701745247207507750e-01,4.804437729406418889e-01,4.760121045014211738e-01,4.698418046244932644e-01,4.917411315054701082e-01,5.000000000000000000e-01,4.939106916960453453e-01,4.977502506834242668e-01,4.745206764367055907e-01,4.932270834917397151e-01
4.882107131005067879e-01,4.773692873870223341e-01,4.607673615218638719e-01,4.879924551039525604e-01,4.701870146679442142e-01,4.612492758358891498e-01,5.000000000000000000e-01,4.809804289905326713e-01,5.034257862903626091e-01,4.821364728793392507e-01
4.899044826900323391e-01,4.856181611179219981e-01,4.633237834195654825e-01,4.788176838756292297e-01,4.751278206855187869e-01,4.531664131384633420e-01,4.857477794830362128e-01,5.000000000000000000e-01,4.827899694247520523e-01,4.820977170197103256e-01
4.887425889277244306e-01,4.992226612728596913e-01,4.773814693329689329e-01,5.034657808048725869e-01,4.817616149253714508e-01,4.871635013772848688e-01,4.877920706707961074e-01,4.831194156365151149e-01,5.000000000000000000e-01,4.934170515567864457e-01
4.566565730975127857e-01,5.069301000755032094e-01,4.832940283194112063e-01,4.842101345899926246e-01,4.924523304772658316e-01,4.839290214106468646e-01,4.832930992224086508e-01,4.670841282912622794e-01,4.919888010775199105e-01,5.000000000000000000e-01
